pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.8688431819889068,0.0801466613765746,0.0,50,0.0,walksize=0.5; no_improve=500; nbour=adjacent
BestILS,0.7912410192641682,0.09442912179508703,0.0,50,0.0,walksize=1.0; no_improve=5; nbour=Hamming
BestILS,0.8922094864537361,0.05452003136102774,0.05,49.8,0.8944271909999159,walksize=1.0; no_improve=5; nbour=adjacent
BestILS,0.7897309708281981,0.13217419935791483,0.0,50,0.0,walksize=1.0; no_improve=10; nbour=Hamming
BestILS,0.8605973668157973,0.07712867622830748,0.0,50,0.0,walksize=1.0; no_improve=10; nbour=adjacent
BestILS,0.8005588116088043,0.09928133424170169,0.0,50,0.0,walksize=1.0; no_improve=25; nbour=Hamming
BestILS,0.8933465059872797,0.08704707606713509,0.25,46.35,7.9490151657462045,walksize=1.0; no_improve=25; nbour=adjacent
BestILS,0.8059100473950198,0.11473797230119225,0.0,50,0.0,walksize=1.0; no_improve=50; nbour=Hamming
BestILS,0.8723087389035026,0.07490139712050034,0.05,50,0.0,walksize=1.0; no_improve=50; nbour=adjacent
BestILS,0.7904017686730118,0.09540790963358686,0.0,50,0.0,walksize=1.0; no_improve=100; nbour=Hamming
BestILS,0.8597623186896493,0.06888861489537101,0.0,50,0.0,walksize=1.0; no_improve=100; nbour=adjacent
BestILS,0.7768784924834244,0.13120757007015474,0.0,50,0.0,walksize=1.0; no_improve=200; nbour=Hamming
BestILS,0.909710324207295,0.0656313865043923,0.0,50,0.0,walksize=1.0; no_improve=200; nbour=adjacent
BestILS,0.8261206015143302,0.11028060324775393,0.0,50,0.0,walksize=1.0; no_improve=500; nbour=Hamming
BestILS,0.8798738594258471,0.07748428228837372,0.0,50,0.0,walksize=1.0; no_improve=500; nbour=adjacent
BestILS,0.889646039082348,0.09338279071744922,0.05,99.9,0.4472135954999579,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.9191303622524872,0.07855494617996113,0.05,96.35,16.323296235748465,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.9177396785106234,0.061388163682132214,0.1,99.9,0.4472135954999579,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.9341493704646141,0.07687129218889567,0.15,96,12.519458538821203,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.889680326430152,0.07139055010824161,0.0,100,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.9485767222523374,0.06448478737356651,0.3,88.5,23.473389188611005,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.873967013203982,0.09278984039806476,0.0,100,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.9363382289440643,0.07572014067733006,0.0,100,0.0,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.9252586681464813,0.05248246160358448,0.05,100,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.9385451918347172,0.06918814684837983,0.15,94.15,18.01249566273369,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.9007248294073152,0.10005236178741658,0.1,99.5,2.23606797749979,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.954125652495696,0.06162228550698796,0.3,97.4,7.700991050371032,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.8863832444912603,0.10422530013227804,0.15,99.9,0.4472135954999579,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.9690449448297911,0.04425388439237952,0.1,96.4,16.099689437998485,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.8927572489964427,0.09405736801827885,0.0,100,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.9220508632406526,0.08258731843513545,0.1,96.9,13.63007510501762,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.8940479032681945,0.07809424068761497,0.0,100,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.9115406765844771,0.07322552784535319,0.05,98.65,6.037383539249432,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.9221394939514026,0.07949117328009289,0.1,99.9,0.4472135954999579,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.9074993329274386,0.0766050075831348,0.1,99.5,2.23606797749979,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.9181256581164947,0.07926403385483431,0.1,98.15,8.273451516749223,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.9514115021412529,0.0532178580512905,0.0,100,0.0,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.9063846802475843,0.07049299388657347,0.0,100,0.0,walksize=0.05; no_improve=100; nbour=Hamming
