pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.9908609425258003,0.007580786365209983,0.15,203.75,3.8780760286784637,nr_particles=20; k=10; scaling=1000.0
PSO,0.9861159004317595,0.008745658242118984,0.0,205.35,4.042862456491101,nr_particles=20; k=6; scaling=10.0
PSO,0.9883502151390435,0.00733993577785982,0.0,202.8,2.98416875492904,nr_particles=20; k=6; scaling=100.0
PSO,0.9859249111650386,0.008111260687344333,0.0,203.25,6.965138756316119,nr_particles=20; k=6; scaling=1000.0
PSO,0.9891005795257047,0.008654379208807577,0.05,207.25,4.01149663631392,nr_particles=20; k=4; scaling=10.0
PSO,0.9878259624512403,0.008480525697503348,0.0,200.65,11.183987613877637,nr_particles=20; k=4; scaling=100.0
PSO,0.9882568126196991,0.008532056776520266,0.0,203.15,2.996050031203365,nr_particles=20; k=4; scaling=1000.0
PSO,0.9852193981776661,0.008805639302897844,0.0,203.35,3.5433406776507868,nr_particles=20; k=2; scaling=10.0
PSO,0.9813087096683935,0.01544456606069858,0.05,159.3,45.0229181405952,nr_particles=20; k=2; scaling=100.0
PSO,0.982582839175446,0.00941689184723576,0.0,161.35,39.14383059543624,nr_particles=20; k=2; scaling=1000.0
PSO,0.9864478800286577,0.0069663050353793105,0.0,204.7,3.278317925560703,nr_particles=14; k=7; scaling=10.0
PSO,0.9872625973247753,0.008486594351176198,0.0,202.9,2.3597502097958545,nr_particles=14; k=7; scaling=100.0
PSO,0.9898655672334804,0.0070279462160606244,0.05,199.1,12.657013865837392,nr_particles=14; k=7; scaling=1000.0
PSO,0.986721582506494,0.006504512441091894,0.05,202.15,2.1095023109728985,nr_particles=14; k=4; scaling=10.0
PSO,0.9901615720959704,0.007258946663669819,0.05,199.8,8.134397399477825,nr_particles=14; k=4; scaling=100.0
PSO,0.9877509220014454,0.008972650661206184,0.05,202.55,2.6650762801367183,nr_particles=14; k=4; scaling=1000.0
PSO,0.9843029983552697,0.008896636011959683,0.0,194.25,19.888835799857272,nr_particles=14; k=2; scaling=10.0
PSO,0.9776912227066931,0.0184230400250126,0.0,129,43.21062247569274,nr_particles=14; k=2; scaling=100.0
PSO,0.975320811696391,0.01359698180814965,0.05,106.85,45.83296331589077,nr_particles=14; k=2; scaling=1000.0
PSO,0.9784324442744181,0.012520174810273578,0.0,121.9,31.989965531973336,nr_particles=14; k=1; scaling=10.0
PSO,0.9276623785255695,0.047194087534856294,0.0,27.2,6.169534657876301,nr_particles=14; k=1; scaling=100.0
PSO,0.9355497935200755,0.04039335429858183,0.0,15.6,2.583347481568501,nr_particles=14; k=1; scaling=1000.0
PSO,0.9790781481797438,0.010559341266250528,0.05,155.5,48.0049339569437,nr_particles=6; k=3; scaling=10.0
PSO,0.9851307218632326,0.011596488081654763,0.05,138.9,48.378877513576974,nr_particles=6; k=3; scaling=100.0
PSO,0.979051966938105,0.026334552641927408,0.0,129.9,63.78574333369157,nr_particles=6; k=3; scaling=1000.0
PSO,0.9631642178939457,0.040342516709590895,0.05,49.9,16.504863716971112,nr_particles=6; k=1; scaling=10.0
PSO,0.9276669683996104,0.04764782559273289,0.0,11,4.0,nr_particles=6; k=1; scaling=100.0
PSO,0.8977783453828773,0.05425462960791647,0.0,6.25,0.4442616583193193,nr_particles=6; k=1; scaling=1000.0
PSO,0.9689808816258606,0.019492890635690225,0.0,64.45,26.188537066514627,nr_particles=6; k=1; scaling=10.0
PSO,0.8958265539101696,0.07397870061937462,0.0,13,6.2492104764479945,nr_particles=6; k=1; scaling=100.0
PSO,0.866686195151046,0.09857595344122493,0.0,6.25,0.4442616583193193,nr_particles=6; k=1; scaling=1000.0
PSO,0.9656594566540591,0.0318801850083381,0.0,52.3,20.571057849625323,nr_particles=6; k=1; scaling=10.0
PSO,0.8924336452937093,0.08018440813153224,0.0,11.1,3.5228576916743988,nr_particles=6; k=1; scaling=100.0
PSO,0.8864906978711136,0.0616843139338519,0.0,6.9,2.1496633763403397,nr_particles=6; k=1; scaling=1000.0
PSO,0.9929825233308779,0.006297298464789475,0.05,415.05,11.798639529066142,nr_particles=80; k=8; scaling=1000.0
PSO,0.9930777918705553,0.005723499949805968,0.05,416.15,9.990916927521296,nr_particles=40; k=20; scaling=10.0
PSO,0.9945502059488254,0.00403519456927088,0.1,408.9,7.5246961820115335,nr_particles=40; k=20; scaling=100.0
PSO,0.993593451669714,0.0047907815516084135,0.2,404.45,7.301585984889642,nr_particles=40; k=20; scaling=1000.0
PSO,0.9903832632605352,0.005887065367080926,0.0,414.45,9.730445978852584,nr_particles=40; k=13; scaling=10.0
PSO,0.9928069813466964,0.0057923808657398684,0.15,407.65,5.284286537511598,nr_particles=40; k=13; scaling=100.0
PSO,0.9908242180995823,0.007245730029691409,0.05,409.5,6.125872655342558,nr_particles=40; k=13; scaling=1000.0
PSO,0.9914347658583577,0.005408384692204952,0.0,410.15,7.679603882328416,nr_particles=40; k=8; scaling=10.0
PSO,0.99317847418279,0.006560916537089854,0.1,409.6,7.272153087381741,nr_particles=40; k=8; scaling=100.0
PSO,0.9920292571578203,0.005830978247304062,0.1,409.45,6.48459713474939,nr_particles=40; k=8; scaling=1000.0
PSO,0.9905352785863258,0.005432950909667922,0.0,412,7.159829459891963,nr_particles=40; k=4; scaling=10.0
PSO,0.9891009177088488,0.005712035558729595,0.0,406.9,4.22897275071805,nr_particles=40; k=4; scaling=100.0
PSO,0.9898732282287959,0.006531869550394014,0.05,406.2,5.267577092084427,nr_particles=40; k=4; scaling=1000.0
PSO,0.9924513993261135,0.004076691117707649,0.05,406.5,4.478016478190693,nr_particles=28; k=14; scaling=10.0
PSO,0.9931677962439436,0.00530527448979011,0.05,402.35,14.35004126163149,nr_particles=28; k=14; scaling=100.0
PSO,0.9931950914397185,0.005791875447479104,0.15,406.85,4.847951276461776,nr_particles=28; k=14; scaling=1000.0
PSO,0.9945019113112447,0.004963324639579098,0.0,407.35,5.896252154859408,nr_particles=28; k=9; scaling=10.0
PSO,0.9919967450052082,0.007755999590136673,0.1,404.1,11.16337998240582,nr_particles=28; k=9; scaling=100.0
PSO,0.9920924398365829,0.005344529066008354,0.15,403.45,7.359025965295594,nr_particles=28; k=9; scaling=1000.0
PSO,0.9867649144063393,0.0060926771411746565,0.0,407.05,5.951337753197308,nr_particles=28; k=5; scaling=10.0
PSO,0.9928609717119256,0.005337642286714197,0.05,399.25,14.00704709855195,nr_particles=28; k=5; scaling=100.0
PSO,0.99139328535265,0.006165279384765364,0.0,392.65,46.67048543272628,nr_particles=28; k=5; scaling=1000.0
PSO,0.9914932363000115,0.005786509606761328,0.05,404.7,3.826500393722428,nr_particles=28; k=2; scaling=10.0
PSO,0.9831670494457694,0.010057058782364714,0.0,221.7,73.52199814019146,nr_particles=28; k=2; scaling=100.0
PSO,0.9867985121128529,0.010068831338648236,0.1,223.35,103.40074060612302,nr_particles=28; k=2; scaling=1000.0
PSO,0.9904100565001477,0.008148839173100305,0.0,356.35,62.577341619874886,nr_particles=12; k=6; scaling=10.0
PSO,0.9884525714396851,0.009689904916866115,0.1,334.55,80.59415872786707,nr_particles=12; k=6; scaling=100.0
PSO,0.9872009024455745,0.00802581462501246,0.05,330.65,93.17514633600982,nr_particles=12; k=6; scaling=1000.0
PSO,0.9901150830993128,0.006590710809170807,0.0,332.05,69.08231169752271,nr_particles=12; k=3; scaling=10.0
PSO,0.9785196022384205,0.019017522269445235,0.05,209.3,105.07696427406262,nr_particles=12; k=3; scaling=100.0
PSO,0.98402193878599,0.013502850028806282,0.0,228.55,108.94396193504835,nr_particles=12; k=3; scaling=1000.0
PSO,0.9882805920437844,0.006595490055890495,0.0,266,85.72845747505686,nr_particles=12; k=2; scaling=10.0
PSO,0.9799645013159689,0.01811696493647564,0.0,111.2,67.73291200311007,nr_particles=12; k=2; scaling=100.0
PSO,0.9760597999387804,0.022042467196532547,0.0,111,54.95261116347621,nr_particles=12; k=2; scaling=1000.0
PSO,0.9761037979254593,0.01616390593001392,0.0,121.55,38.05740124435304,nr_particles=12; k=1; scaling=10.0
PSO,0.9360982712606893,0.039509860882345274,0.0,21.5,3.7626978003610794,nr_particles=12; k=1; scaling=100.0
PSO,0.9170338623165927,0.05733875911881124,0.0,13.2,1.1964860832322377,nr_particles=12; k=1; scaling=1000.0
PSO,0.9966726776359641,0.003237768692587801,0.15,838.35,34.57604129421046,nr_particles=264; k=52; scaling=1000.0
PSO,0.9938191194162196,0.0046180668034826195,0.05,834.1,21.15830059835918,nr_particles=160; k=32; scaling=10.0
PSO,0.9964956475715525,0.003362320140079269,0.1,832.2,19.044546118038763,nr_particles=160; k=32; scaling=100.0
PSO,0.9933019923407677,0.005659621001887368,0.2,835.4,15.84929020492716,nr_particles=160; k=16; scaling=10.0
PSO,0.9976030652244848,0.002952189137138794,0.25,836.35,20.757433671616994,nr_particles=160; k=16; scaling=1000.0
PSO,0.9957856088190354,0.003457621066686036,0.15,825.55,18.062683253486714,nr_particles=80; k=40; scaling=10.0
PSO,0.9979159690221162,0.0029419086092346983,0.4,816.55,15.160457568431454,nr_particles=80; k=40; scaling=100.0
PSO,0.9958048287074608,0.003806704066281083,0.2,813.55,11.650502586855032,nr_particles=80; k=40; scaling=1000.0
PSO,0.9970730882137551,0.004104350871751362,0.25,822.3,17.92704513768014,nr_particles=80; k=26; scaling=10.0
