convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Simulated annealing,0.8898780101252547,0.07739287262797244,0.12,99.28,3.614257481538517,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=50; nbour_method=Hamming
Simulated annealing,0.8734128441554679,0.07220887226837884,0.04,99.48,3.535476182458976,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=50; nbour_method=adjacent
Simulated annealing,0.9089182909380529,0.060205406274139124,0.08,100,0.0,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=100; nbour_method=Hamming
Simulated annealing,0.878106616740776,0.09160751245943098,0.12,97.68,9.340366640533542,hillclimb=<function BestHillclimb at 0x7f5d25d81ca0>; explore=100; nbour_method=adjacent
Simulated annealing,0.821483281372373,0.254328750552287,0.08,99.26,5.090246776424298,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=1; nbour_method=Hamming
Simulated annealing,0.834393905960902,0.21736904297436854,0.18,89.84,23.310118675224743,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=1; nbour_method=adjacent
Simulated annealing,0.8930028611099201,0.14125471420773825,0.2,96.54,11.043901262780324,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=2; nbour_method=Hamming
Simulated annealing,0.8790662054774856,0.15435753890496923,0.2,90.4,21.982367702227126,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=2; nbour_method=adjacent
Simulated annealing,0.9188006022782444,0.07494735108796544,0.18,98.26,7.021279608941576,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=4; nbour_method=Hamming
Simulated annealing,0.8590856556283901,0.18822063901723124,0.2,91.24,20.49943752339342,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=4; nbour_method=adjacent
Simulated annealing,0.8998278078862709,0.10716584801477114,0.2,96.7,10.194536351819607,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=8; nbour_method=Hamming
Simulated annealing,0.9003110874386347,0.11744822898955737,0.24,91.2,21.173722644170176,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=8; nbour_method=adjacent
Simulated annealing,0.915748160283531,0.07010230384327208,0.24,96.6,10.2718160069986,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=12; nbour_method=Hamming
Simulated annealing,0.9168077364898753,0.06452766695844388,0.24,95.48,13.46384425195183,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=12; nbour_method=adjacent
Simulated annealing,0.9065527724712862,0.05732748543615301,0.14,98.36,7.19342103052845,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=16; nbour_method=Hamming
Simulated annealing,0.9250406678904869,0.06594464085348614,0.32,88.26,23.874510359334266,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=16; nbour_method=adjacent
Simulated annealing,0.9093142392653739,0.06079900179978635,0.14,98.36,7.0211342766402245,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=24; nbour_method=Hamming
Simulated annealing,0.9066190835450281,0.06918292003452912,0.22,90.86,20.500881016409505,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=24; nbour_method=adjacent
Simulated annealing,0.8862610524349265,0.08631378289250738,0.12,96.46,11.247149298686258,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=32; nbour_method=Hamming
Simulated annealing,0.9117030143924103,0.06428082460999558,0.22,91.3,20.813310105579564,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=32; nbour_method=adjacent
Simulated annealing,0.8852631484352645,0.13966590945946314,0.14,97.3,9.815127849084675,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=50; nbour_method=Hamming
Simulated annealing,0.9177328567095007,0.061163658045366366,0.2,93.52,17.113355567378076,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=50; nbour_method=adjacent
Simulated annealing,0.9118732262019139,0.06379025591420873,0.18,97.84,7.37718490637568,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=100; nbour_method=Hamming
Simulated annealing,0.9228527516629628,0.06784251467295367,0.34,85.6,25.542281872716583,hillclimb=<function RandomGreedyHillclimb at 0x7f5d25d81a60>; explore=100; nbour_method=adjacent
Simulated annealing,0.8223128079030398,0.1693806598848687,0.04,99.76,1.6970562748477143,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=1; nbour_method=Hamming
Simulated annealing,0.8416528685676362,0.23017746306969145,0.18,95.04,14.593764393866083,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=1; nbour_method=adjacent
Simulated annealing,0.7854161694818425,0.20758656883246335,0.02,99.7,2.1213203435596424,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=2; nbour_method=Hamming
Simulated annealing,0.8103367251024726,0.1849850948991049,0.08,96.9,12.785913805306787,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=2; nbour_method=adjacent
Simulated annealing,0.7991773095734285,0.1850887388392347,0.02,100,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=4; nbour_method=Hamming
Simulated annealing,0.8353920960951152,0.15248188119172146,0.08,98.74,5.193441704177864,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=4; nbour_method=adjacent
Simulated annealing,0.7868743733885774,0.19766415263560563,0.04,100,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=8; nbour_method=Hamming
Simulated annealing,0.8879152104637049,0.08987892138162239,0.16,96.42,12.34221228474185,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=8; nbour_method=adjacent
Simulated annealing,0.7565353853839231,0.1654229172781777,0.02,100,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=12; nbour_method=Hamming
Simulated annealing,0.8623672639655617,0.11079710835164386,0.1,96.62,13.266329944791876,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=12; nbour_method=adjacent
Simulated annealing,0.7664804517570785,0.180022867150284,0.02,100,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=16; nbour_method=Hamming
Simulated annealing,0.8715041731077908,0.09805308740236761,0.16,95,15.117228986983624,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=16; nbour_method=adjacent
Simulated annealing,0.808822622122666,0.1469710733941639,0.02,100,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=24; nbour_method=Hamming
Simulated annealing,0.8881066011461213,0.0709986146310833,0.14,94.9,15.05127291382794,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=24; nbour_method=adjacent
Simulated annealing,0.7919444882406231,0.16996708290401874,0.0,100,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=32; nbour_method=Hamming
Simulated annealing,0.866105775072797,0.0863016679931872,0.06,99.04,4.490170670816559,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=32; nbour_method=adjacent
Simulated annealing,0.783721928661901,0.1897102928571403,0.02,100,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=50; nbour_method=Hamming
Simulated annealing,0.859829294610399,0.1386418611071734,0.12,95.98,12.472811247195368,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=50; nbour_method=adjacent
Simulated annealing,0.8186230332710326,0.12598666375880457,0.04,100,0.0,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=100; nbour_method=Hamming
Simulated annealing,0.8593999734343296,0.09674643636870921,0.1,97.38,11.026665268283766,hillclimb=<function StochasticHillclimb at 0x7f5d25d81d30>; explore=100; nbour_method=adjacent
Simulated annealing,0.8460562190363194,0.0711916451851671,0.0,150,0.0,hillclimb=None; explore=1; nbour_method=Hamming
Simulated annealing,0.8470239136421693,0.07363038946421899,0.02,148.86,8.061017305526642,hillclimb=None; explore=1; nbour_method=adjacent
Simulated annealing,0.832258742216616,0.06700463507994442,0.0,150,0.0,hillclimb=None; explore=2; nbour_method=Hamming
Simulated annealing,0.8404216342395497,0.057949285789292065,0.02,149.94,0.4242640687119285,hillclimb=None; explore=2; nbour_method=adjacent
Simulated annealing,0.8559821455845393,0.06607691678161524,0.02,148.86,8.061017305526642,hillclimb=None; explore=4; nbour_method=Hamming
Simulated annealing,0.8544150791623167,0.05833589080697026,0.0,150,0.0,hillclimb=None; explore=4; nbour_method=adjacent
Simulated annealing,0.8531919535828185,0.05268130617867035,0.02,148.94,7.495331880577404,hillclimb=None; explore=8; nbour_method=Hamming
Simulated annealing,0.8662871521009488,0.059685796156133133,0.02,147.72,16.122034611053284,hillclimb=None; explore=8; nbour_method=adjacent
Simulated annealing,0.8525566151868352,0.04680671835113366,0.02,149.36,4.525483399593904,hillclimb=None; explore=12; nbour_method=Hamming
Simulated annealing,0.8468181280458986,0.04276750477714162,0.0,150,0.0,hillclimb=None; explore=12; nbour_method=adjacent
