convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.9003588098920454,0.03529646631946794,0.0,204.1,2.770141550629916,nr_particles=20; k=4; scaling=10.0
PSO,0.9300383940587952,0.05139393451036705,0.15,203.75,3.290736599672033,nr_particles=20; k=4; scaling=100.0
PSO,0.9220570151453893,0.054971968362061724,0.05,199.1,12.319859876168278,nr_particles=20; k=4; scaling=1000.0
PSO,0.8886478043456326,0.05014640175477098,0.05,200.4,4.739531400332404,nr_particles=20; k=2; scaling=10.0
PSO,0.8865523617420058,0.055669106229071126,0.05,157,46.61149621013434,nr_particles=20; k=2; scaling=100.0
PSO,0.8711831087024288,0.0894764856669037,0.15,142.3,58.77441262103236,nr_particles=20; k=2; scaling=1000.0
PSO,0.9253890192943168,0.05742970451471137,0.15,195.35,19.07678390637495,nr_particles=14; k=7; scaling=10.0
PSO,0.8836343790578094,0.21248788479186975,0.1,194.75,35.349197861814126,nr_particles=14; k=7; scaling=100.0
PSO,0.9206817239920791,0.02346601129634079,0.05,181,33.05338584456173,nr_particles=14; k=7; scaling=1000.0
PSO,0.9025517647484975,0.06292798145254755,0.1,199,9.101763854504132,nr_particles=14; k=4; scaling=10.0
PSO,0.9232073367993773,0.048711717827984134,0.2,189.1,24.946047044730246,nr_particles=14; k=4; scaling=100.0
PSO,0.9162954062685655,0.03495508867172147,0.1,191.05,19.343093422663674,nr_particles=14; k=4; scaling=1000.0
PSO,0.862236954492138,0.06385794652993995,0.0,188.95,22.110904668582826,nr_particles=14; k=2; scaling=10.0
PSO,0.8609187477371399,0.09193296705308165,0.0,131.25,62.579528349301675,nr_particles=14; k=2; scaling=100.0
PSO,0.8346741626039192,0.1092066689799196,0.0,108.4,64.01759626523747,nr_particles=14; k=2; scaling=1000.0
PSO,0.7297397022945364,0.08810316613135862,0.0,82.15,30.33718406250167,nr_particles=14; k=1; scaling=10.0
PSO,0.6923689492778303,0.09675572105616922,0.0,20.3,5.535531163597391,nr_particles=14; k=1; scaling=100.0
PSO,0.7281682391975877,0.09663106567503563,0.0,14.15,0.36634754853252327,nr_particles=14; k=1; scaling=1000.0
PSO,0.8608813010717219,0.10479494125129755,0.05,119.35,47.89602224995747,nr_particles=6; k=3; scaling=10.0
PSO,0.8447625960558406,0.10397230726378309,0.05,106.05,49.57660207884573,nr_particles=6; k=3; scaling=100.0
PSO,0.7831080771813399,0.21733996771269504,0.0,98.05,59.871331334700365,nr_particles=6; k=3; scaling=1000.0
PSO,0.5910003192262223,0.27155992458624445,0.0,37.7,15.748349955337845,nr_particles=6; k=1; scaling=10.0
PSO,0.5170978476807258,0.2884904318627433,0.0,8.4,2.3708759207472134,nr_particles=6; k=1; scaling=100.0
PSO,0.4863674432342173,0.2794813557424777,0.0,6.05,0.22360679774997896,nr_particles=6; k=1; scaling=1000.0
PSO,0.6754136499644731,0.20711035196085462,0.0,43.45,24.24974226667162,nr_particles=6; k=1; scaling=10.0
PSO,0.4848682034522485,0.21152315695993448,0.0,8.75,2.381397201556042,nr_particles=6; k=1; scaling=100.0
PSO,0.4045142758092488,0.2456880901355949,0.0,6.05,0.22360679774997896,nr_particles=6; k=1; scaling=1000.0
PSO,0.7722951463976869,0.12250419725724149,0.0,38.4,14.96100193661402,nr_particles=6; k=1; scaling=10.0
PSO,0.4332317928131512,0.3459810127298613,0.0,8.6,2.4148662379867796,nr_particles=6; k=1; scaling=100.0
PSO,0.5399739777487985,0.23527917002695614,0.0,6.25,0.4442616583193193,nr_particles=6; k=1; scaling=1000.0
PSO,0.9560246923142186,0.04039502458621434,0.15,419.35,18.663995736232508,nr_particles=80; k=16; scaling=100.0
PSO,0.9475273282755113,0.04005582654103506,0.05,419.75,14.920402844850791,nr_particles=80; k=8; scaling=100.0
PSO,0.9435673192604314,0.0385984460143018,0.25,408.25,9.175912402647088,nr_particles=40; k=20; scaling=10.0
PSO,0.9594926229303529,0.039880839379711756,0.35,407.25,14.033324998955727,nr_particles=40; k=20; scaling=100.0
PSO,0.9410617700454265,0.03560633303616739,0.25,405.4,5.985948458462403,nr_particles=40; k=20; scaling=1000.0
PSO,0.9387507752753378,0.03179842178773921,0.05,409.15,8.803557893201326,nr_particles=40; k=13; scaling=10.0
PSO,0.9456424801456821,0.040994372198078395,0.15,404.6,5.133994033580688,nr_particles=40; k=13; scaling=100.0
PSO,0.9403624085017324,0.04762553133157291,0.25,407.25,12.73980500553079,nr_particles=40; k=13; scaling=1000.0
PSO,0.940131747929089,0.04079284604819501,0.15,407.35,6.937882279652473,nr_particles=40; k=8; scaling=10.0
PSO,0.9596491516695318,0.038326198263336206,0.35,403.15,18.553691645713272,nr_particles=40; k=8; scaling=100.0
PSO,0.9502561033218822,0.039918612725509284,0.25,409.1,7.5246961820115335,nr_particles=40; k=8; scaling=1000.0
PSO,0.9293359083399712,0.045582566006156594,0.05,408.15,5.214100315995384,nr_particles=40; k=4; scaling=10.0
PSO,0.9360515315184376,0.043138384078663126,0.1,406.95,4.806519695054559,nr_particles=40; k=4; scaling=100.0
PSO,0.9531547505856459,0.04451446906539463,0.2,401.2,25.22029258146576,nr_particles=40; k=4; scaling=1000.0
