GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.9070687173066264,0.04953375520582705,0.0,400,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9149708854380385,0.06572118493621261,0.0,400,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.920547264352234,0.056118683226097005,0.0,400,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.9311107330000197,0.03867115825436256,0.0,400,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.9015782702861982,0.06299606590171036,0.0,400,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9163651780125254,0.08413330453287908,0.1,393.05,24.14315856020413,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.9344678425913017,0.06266187352318794,0.05,393.8,27.72724292099739,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.9133670031304217,0.05550652196578441,0.1,382.55,54.50009657161893,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.905603432003539,0.064002869174798,0.05,392.6,33.09380606699689,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.893074207513674,0.04235933562911157,0.0,400,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.9297071493766739,0.09436288337461465,0.25,244.65,116.17331653045036,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9675451223919806,0.05354899408877484,0.3,253.05,77.89431098745612,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.9152058183697699,0.0775837979712567,0.2,231.55,89.52710556908978,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.9104050904229191,0.12314939679931142,0.15,245.35,92.19445981756513,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9483467479655832,0.06661135101524131,0.3,222.45,100.99633917284224,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.9624276547560641,0.057437352751605775,0.2,202.65,104.5709404134216,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.8265178209467523,0.0816417184879875,0.0,114.4,16.7407476409791,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.9151583428180285,0.11361036370425244,0.15,101.05,28.781344469528943,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.9093708997110981,0.1048148951099702,0.15,101.25,21.60135229685011,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8568887352542017,0.09157772177531048,0.0,110.8,17.126771902185002,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.8654164932532112,0.11289673417428372,0.0,101.55,20.551539832180076,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8437555976399931,0.14423048855028073,0.05,86.1,24.831855601859058,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.9690865726098943,0.0857153657599087,0.65,62.7,29.19643092823793,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9504685133835282,0.10889754069205253,0.55,53.3,31.254641760528106,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9701571414363772,0.08058379790807908,0.6,64.95,37.331340015708264,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9641440844268544,0.07996182709462808,0.55,62.05,28.381749139376986,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9359353811368689,0.12875881817457355,0.5,75.15,33.647202120329645,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.9563551514675829,0.09118019339353738,0.55,68.05,34.87643602023699,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8999464210845731,0.11323925389598163,0.15,213,69.41029803771347,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9426627151514858,0.07804565238240192,0.2,219.15,85.49870728477958,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.8965053135160229,0.14227684759151435,0.15,214.15,91.57468910245082,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.9357430161911158,0.07572394723265831,0.2,199.85,82.18738217922314,method=BFGS; iterations=1000000; temperature=0.5
