pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.88106170790676,0.09121590729027038,0.08,99.92,0.3958973274443148,walksize=1.0; no_improve=100; nbour=Hamming
BestILS,0.8840471060131224,0.07607225761961608,0.04,97.38,13.106922925363854,walksize=1.0; no_improve=100; nbour=adjacent
BestILS,0.8738566918331696,0.09033645044745323,0.06,99.96,0.282842712474619,walksize=1.0; no_improve=200; nbour=Hamming
BestILS,0.8968421234242698,0.07600308056818683,0.04,99.26,5.232590180780452,walksize=1.0; no_improve=200; nbour=adjacent
BestILS,0.8815686011673945,0.10114052432142376,0.12,99.92,0.3958973274443148,walksize=1.0; no_improve=500; nbour=Hamming
BestILS,0.8887366190787765,0.07901279370422612,0.06,98.56,8.942355074906962,walksize=1.0; no_improve=500; nbour=adjacent
BestILS,0.970000769718779,0.04779461776150145,0.42,146.48,9.77552128157525,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.9334789974525208,0.076758652018175,0.1,147.46,10.667918719034109,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.9740238808826027,0.03731856888168488,0.38,145.92,11.910962194892706,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.9651261616101772,0.05599448115303572,0.26,139.02,22.968914219182484,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.9617029752165488,0.05540801383350841,0.32,147.24,9.083647563684123,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.9326835376972081,0.08008001424691201,0.32,132.84,35.050610638367615,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.9700043041448414,0.04672253956499805,0.42,148.08,4.724404724407087,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.9554659759222156,0.060834661838413705,0.3,140.78,23.832998903509687,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.9707274104732432,0.041394094501168203,0.4,147.32,9.70259801101052,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.9514040078551096,0.06480711356739183,0.26,139.5,26.230726646590696,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.9710336517816022,0.040725257573229395,0.4,145.28,12.039119908168757,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.9534977017619196,0.06816699009063702,0.4,135.5,25.973495124445456,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.9719063454184061,0.03420326756836742,0.4,144.7,13.512277108358207,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.9578428978678868,0.0717985400956612,0.4,131.6,31.356410665060476,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.9658044372969646,0.047251639131150255,0.24,147.68,7.470868594147565,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.9360279791206987,0.0694221962022837,0.2,139.16,24.512687260573735,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.9697456784732773,0.035010711540874005,0.36,146.36,9.94425277561397,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.9205239571223198,0.07572590175369218,0.14,144.38,18.054215404651377,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.9601974103617148,0.06456715324383187,0.42,144.24,13.400517809063215,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.9451934409728,0.06360636048526341,0.18,140.84,27.96963367946147,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.9735900216787396,0.03148900155403317,0.38,144.96,14.3966549402765,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.9391590999649908,0.06598115064906593,0.16,145.06,14.874179792169917,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.9671778338276571,0.039250744754474355,0.28,148.84,3.11913122388859,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.9362856800366846,0.06474052563316395,0.12,146.52,15.691203827336524,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.9706007745974798,0.03689947312596348,0.32,147.34,7.9555140677163445,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.9457249534769102,0.0749744426511717,0.28,136.46,27.16856677132902,walksize=0.05; no_improve=200; nbour=adjacent
