GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.9447662892525193,0.05214200470268839,0.1,414.25,8.33429818975716,nr_particles=40; k=20; scaling=10.0
PSO,0.9502851144014757,0.05072384410827188,0.05,412.3,7.841186805982611,nr_particles=40; k=20; scaling=100.0
PSO,0.959582723922408,0.04973157392016692,0.15,414,8.32877068075665,nr_particles=40; k=20; scaling=1000.0
PSO,0.9499348747273303,0.036098444814997674,0.0,413.25,9.261550398797908,nr_particles=40; k=13; scaling=10.0
PSO,0.9554098797753672,0.04230849516169451,0.05,412.55,6.984757841562094,nr_particles=40; k=13; scaling=100.0
PSO,0.940721640810441,0.04726701280347667,0.0,415,9.459053029269173,nr_particles=40; k=13; scaling=1000.0
PSO,0.9388543672021732,0.048998057883093686,0.0,412.9,9.909591313469996,nr_particles=40; k=8; scaling=10.0
PSO,0.9371660278039504,0.04844816699326979,0.1,413.9,8.213595917424769,nr_particles=40; k=8; scaling=100.0
PSO,0.9354674048402036,0.05096527266265732,0.0,411.2,8.27551874665968,nr_particles=40; k=8; scaling=1000.0
PSO,0.9106757260024383,0.06289376415663991,0.05,410.95,7.721978203052703,nr_particles=40; k=4; scaling=10.0
PSO,0.9172860257116032,0.04484624265591822,0.0,412.05,7.850410649668019,nr_particles=40; k=4; scaling=100.0
PSO,0.9137883872839292,0.05703736911723146,0.0,410.4,7.728280260800179,nr_particles=40; k=4; scaling=1000.0
PSO,0.9534683695436144,0.0492437912250508,0.1,407.3,6.061960773631963,nr_particles=28; k=14; scaling=10.0
PSO,0.9470111313730483,0.046952670267891766,0.0,403.9,10.799122771391154,nr_particles=28; k=14; scaling=100.0
PSO,0.9344524135043903,0.06394538409516246,0.1,406.5,5.9338458284479785,nr_particles=28; k=14; scaling=1000.0
PSO,0.9439272002215241,0.05401569034070716,0.0,405.8,6.100905886143381,nr_particles=28; k=9; scaling=10.0
PSO,0.9232296782129089,0.047096745658731586,0.0,409.55,6.10844971287616,nr_particles=28; k=9; scaling=100.0
