GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.893294256648159,0.23631349022765377,0.08,243.3,102.40819681798037,nr_particles=12; k=3; scaling=100.0
PSO,0.8880721849237456,0.2565483461884628,0.08,258.38,102.79738144842534,nr_particles=12; k=3; scaling=1000.0
PSO,0.8883589936884507,0.20312514133903878,0.0,220.56,90.7742568919499,nr_particles=12; k=2; scaling=10.0
PSO,0.8537411817771265,0.2302866731086923,0.0,178,114.47983513729055,nr_particles=12; k=2; scaling=100.0
PSO,0.7407564821055802,0.32084127649861904,0.04,122.52,123.7568781844435,nr_particles=12; k=2; scaling=1000.0
PSO,0.6674544173419098,0.19645579382818296,0.0,46,11.563489339913179,nr_particles=12; k=1; scaling=10.0
PSO,0.615104119570475,0.23418714894994783,0.0,14.54,1.5934816200601085,nr_particles=12; k=1; scaling=100.0
PSO,0.6662809843702965,0.23852182855244922,0.02,12.22,0.5816935163286381,nr_particles=12; k=1; scaling=1000.0
PSO,0.9894696829210903,0.014628524585076224,0.32,617.16,11.553531132630106,nr_particles=60; k=30; scaling=10.0
PSO,0.9932502730054092,0.012953519862437392,0.48,612.9,9.951412575353206,nr_particles=60; k=30; scaling=100.0
PSO,0.9936313431776025,0.010701897706811037,0.4,618.58,11.272306683158673,nr_particles=60; k=30; scaling=1000.0
PSO,0.9920376171157257,0.012264426527455883,0.26,615.96,10.604119338199448,nr_particles=60; k=19; scaling=10.0
PSO,0.9925573880352724,0.0123338810200857,0.44,615,9.920088873861268,nr_particles=60; k=19; scaling=100.0
PSO,0.990854443207535,0.01345481091505438,0.4,619.78,10.951264953494306,nr_particles=60; k=19; scaling=1000.0
PSO,0.9843304695548425,0.01965391228602469,0.24,617.12,12.878775451992986,nr_particles=60; k=12; scaling=10.0
PSO,0.9878716635302551,0.014220742436549126,0.26,614.82,10.952010345696578,nr_particles=60; k=12; scaling=100.0
PSO,0.9866000576780394,0.014185153782961726,0.28,618.98,9.937539628980154,nr_particles=60; k=12; scaling=1000.0
PSO,0.9732437203732578,0.021173685602669984,0.12,616.02,10.182999037010418,nr_particles=60; k=6; scaling=10.0
PSO,0.9761937420666925,0.017145028265878215,0.08,616.86,9.955021294783444,nr_particles=60; k=6; scaling=100.0
PSO,0.9769675260168472,0.020273026967650806,0.18,615.38,11.212037991300571,nr_particles=60; k=6; scaling=1000.0
PSO,0.99087018348101,0.014198072381178296,0.48,604.76,18.23940564731611,nr_particles=42; k=21; scaling=10.0
PSO,0.9922176578919154,0.01321397460089751,0.5,606.62,9.508084637264634,nr_particles=42; k=21; scaling=100.0
PSO,0.9901201938450703,0.014487396441268232,0.38,606.4,6.091144458665098,nr_particles=42; k=21; scaling=1000.0
PSO,0.9902962620203938,0.014754595906329509,0.34,609.74,6.77272440885995,nr_particles=42; k=13; scaling=10.0
PSO,0.9901604545650979,0.014115104521539397,0.36,607.2,5.907449465181524,nr_particles=42; k=13; scaling=100.0
PSO,0.9928961922347804,0.011850519989124975,0.38,607.54,5.3840656817414585,nr_particles=42; k=13; scaling=1000.0
