convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.8728444149417811,0.0652983441779307,0.05,204.85,3.3915529745158586,nr_particles=20; k=6; scaling=100.0
PSO,0.8358277519100901,0.06056869045363075,0.0,204.3,3.246050231475656,nr_particles=20; k=6; scaling=1000.0
PSO,0.8364987857557769,0.06864544712601792,0.05,205.7,5.089721324188067,nr_particles=20; k=4; scaling=10.0
PSO,0.8572009870469267,0.056433985457253026,0.0,204.75,4.063638504436245,nr_particles=20; k=4; scaling=100.0
PSO,0.8325625811724279,0.07737981225771942,0.05,203.85,3.407036063331603,nr_particles=20; k=4; scaling=1000.0
PSO,0.8233232008614868,0.08113396057530962,0.0,201.4,4.417667877249738,nr_particles=20; k=2; scaling=10.0
PSO,0.8134605091531523,0.08335517712783976,0.0,162.9,59.326837807273414,nr_particles=20; k=2; scaling=100.0
PSO,0.7918650919342967,0.10010844149837468,0.0,170.3,53.14538153920215,nr_particles=20; k=2; scaling=1000.0
PSO,0.8273404087001832,0.051492839865663574,0.0,195.1,21.22783673932836,nr_particles=14; k=7; scaling=10.0
PSO,0.8537218271308813,0.0669091793289963,0.0,199.2,14.497186659922386,nr_particles=14; k=7; scaling=100.0
PSO,0.8516938663761708,0.03990737528698836,0.0,200.5,4.148557136618643,nr_particles=14; k=7; scaling=1000.0
PSO,0.8288189701487378,0.07229973929786336,0.05,199.55,12.296661934722044,nr_particles=14; k=4; scaling=10.0
PSO,0.8373372420146935,0.08627725516444491,0.05,191.95,34.02704033095166,nr_particles=14; k=4; scaling=100.0
PSO,0.8487740555865032,0.055066126158163024,0.0,193.55,19.529936534782482,nr_particles=14; k=4; scaling=1000.0
PSO,0.8223182457587224,0.059589519392529065,0.0,188.05,31.32423813497851,nr_particles=14; k=2; scaling=10.0
PSO,0.7877398916422522,0.18652487831224018,0.0,129.55,69.18889095497158,nr_particles=14; k=2; scaling=100.0
PSO,0.7489713035824519,0.1241465774125077,0.0,127.9,67.39740741538793,nr_particles=14; k=2; scaling=1000.0
PSO,0.715517759733212,0.12415331750951668,0.0,95.95,42.54715650094363,nr_particles=14; k=1; scaling=10.0
PSO,0.5725623195105529,0.12748435442445885,0.0,22.35,5.824404193608675,nr_particles=14; k=1; scaling=100.0
PSO,0.6370014329339185,0.15391874573032482,0.0,14.6,0.9403246919632545,nr_particles=14; k=1; scaling=1000.0
PSO,0.7798000186451143,0.12379109356415643,0.0,139.4,64.24656452007048,nr_particles=6; k=3; scaling=10.0
PSO,0.7539305296636671,0.16340963475808357,0.0,113.8,57.55692834055689,nr_particles=6; k=3; scaling=100.0
