pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.9595823202167424,0.026880185116764935,0.05,120.85,24.48904158791717,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9792327722011317,0.03433564666159769,0.2,181.15,34.88217007976545,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9649233124453245,0.05450369866270772,0.2,183.25,27.666957301369255,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9650916163927721,0.045562603929501726,0.05,189.7,25.283862130033185,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9781103885584116,0.015101339599711208,0.15,170.3,47.29760203112561,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9722029919810236,0.02266322554017171,0.1,167.75,39.604458813304554,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9470275149675464,0.06290616485062711,0.1,165.85,41.62144563613937,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.9251977281291349,0.0471758572122441,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.9398400812579591,0.025728353497325825,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.9464358073987091,0.023283018796803372,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9410578654295196,0.03931817661593723,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.9450033501545954,0.02038883444303889,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.9491920443569567,0.023188844514764346,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.944724875218092,0.0356569223458975,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9394798984086448,0.0431827068673878,0.05,199.5,2.23606797749979,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.9389127785783656,0.038909069076796865,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.9378348570918708,0.033834732255148076,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.9469057658346149,0.019522873495932954,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.9528797098667657,0.023087517974867255,0.05,192.55,33.31741286474686,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.8876036973046892,0.09726543747765747,0.05,123.15,47.26774242212346,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9098786064733256,0.09169402764699834,0.0,157.8,49.51831133928879,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.9270168840215729,0.08253528557602492,0.0,157.1,44.51362890053716,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.965312668362105,0.0391186963476395,0.0,129.65,43.392062092410164,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9494753428831033,0.06036631272920999,0.0,132,38.838396627970866,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.9503373895061271,0.04031574305758617,0.0,111.1,29.167213027464136,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.9208077816611799,0.08595963926387883,0.05,143.7,61.78579295053447,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.9517849802087274,0.06836925813523129,0.15,149,47.77358882765334,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.9315130560463466,0.08801146659915189,0.1,127.35,49.62520051663056,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.9599042053128797,0.0473910752409231,0.1,117.6,30.955655889981518,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.9260987271409649,0.07958774900158437,0.0,99.95,44.17605328920326,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.9148130380617696,0.07091043411131524,0.0,80.65,20.25956564193813,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.7801829463496613,0.08549221106081994,0.0,49.65,29.79628200048844,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.7918511302099431,0.09577043239038824,0.0,53.6,33.131953093493806,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.7918511302099431,0.09577043239038824,0.0,54.7,33.22665385373299,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.8173631468951253,0.10868405335257987,0.0,64.65,38.87263277612372,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.8151874979305067,0.10971881394190117,0.0,62.85,39.138451950129955,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.8056949630348436,0.10283899216164757,0.0,59.15,34.919870681619834,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9201697452841214,0.08899659087332197,0.0,176,73.97652543739449,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9428187849061515,0.0795455125333832,0.05,151.65,60.824402132177525,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9626290791659056,0.06051113532311844,0.1,157.9,76.37090931417332,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.9663320704421305,0.04390899152181078,0.05,120.05,47.26907857652489,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9464726112596646,0.06610284746202408,0.0,121.9,45.94264158480086,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.9620717105402842,0.049040653314069906,0.0,140.9,37.8221600318343,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9652839174108843,0.05867795542930486,0.4,211.5,108.28203913853858,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.97881894589077,0.03733789909024858,0.45,204.55,94.17423661546327,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9914241664116937,0.013117454253896835,0.6,245.2,73.78175498333617,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9647008946105884,0.0539855105648535,0.2,222.2,79.39547912358208,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9632036671320834,0.04843571807804137,0.0,189.2,54.01520253838874,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9669085960525797,0.03984308420509581,0.05,172.95,63.28421687327069,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.9677890406873301,0.018826250168173644,0.05,394.35,25.26756814574762,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.9670145544461879,0.015442705230670598,0.0,400,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.9580392004521132,0.01831896530325024,0.0,400,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9783703607573195,0.01427236809718186,0.1,383.1,66.56132906061738,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.9698916401997102,0.015246525456182916,0.05,399.2,3.5777087639996634,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.9576749551200472,0.02214324583996718,0.05,399.05,4.2485291572496005,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.961915958512229,0.018311379473905768,0.1,369.55,94.27868822078285,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9634103947435747,0.017801153835283468,0.0,400,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.9620244363741111,0.01722136025386107,0.05,384.7,68.42368011149357,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.9712887771419474,0.01931065933875468,0.05,389.15,48.522675111745436,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.9626921619347603,0.017397066832965182,0.05,398.35,7.379024325749306,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.9633904596962292,0.01609295866292471,0.05,395.95,18.1121506177483,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.8966755673880229,0.09510229181237115,0.0,165.95,64.00450230873976,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9333572081253907,0.08265200609907744,0.0,160.2,74.85325995783877,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.919856285271581,0.08852238254456223,0.0,164.1,52.868157763091745,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.9367810968414829,0.07953741308175791,0.0,129.05,46.64476616434384,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9515567725818452,0.06277732023514634,0.05,134.65,45.27259540535358,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.9623413432479878,0.03836636969601036,0.0,155.8,40.82130506694294,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.9452487596156391,0.07264457002817021,0.15,180.4,96.49510486629823,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.964469340874818,0.060878438671074654,0.15,183.9,57.68690447032516,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.9606372598741019,0.05808909122902457,0.15,137.8,59.19157123495843,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.9528814996167632,0.05980699127743994,0.1,107.95,49.53305647959276,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.9283480061344194,0.0716410238664995,0.0,103.45,49.92359952441014,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.9202386424990715,0.07454911237491671,0.0,88.7,26.695357372830916,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.7685147624893796,0.07182782429279118,0.0,45.75,25.29171905251952,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.7918511302099431,0.09577043239038824,0.0,53.6,32.708279975372726,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.7962024281391803,0.0944658508228297,0.0,56.9,33.303864166505555,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.8385238656510704,0.11729434590108292,0.0,70.8,41.70775517940594,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.7918511302099431,0.09577043239038824,0.0,53.7,34.33748910294311,method=Powell; iterations=1000000; temperature=1.0
