pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.9218168964061576,0.06024689816647263,0.05,123.6,48.27160001927689,nr_particles=14; k=2; scaling=100.0
PSO,0.9194448677210576,0.07306819838395165,0.1,119.8,49.827703137913154,nr_particles=14; k=2; scaling=1000.0
PSO,0.9311849512092858,0.04239199067262865,0.0,141.25,33.475639217984046,nr_particles=14; k=1; scaling=10.0
PSO,0.8767347326225429,0.07173736664735296,0.0,25.05,6.4602020499606505,nr_particles=14; k=1; scaling=100.0
PSO,0.8332655704933456,0.07312381266746588,0.0,15.35,2.2307657406087453,nr_particles=14; k=1; scaling=1000.0
PSO,0.9465958940648382,0.045813461894912755,0.0,174.65,38.26263121334471,nr_particles=6; k=3; scaling=10.0
PSO,0.9131725469380507,0.07584863729594789,0.15,115.05,54.94444562704367,nr_particles=6; k=3; scaling=100.0
PSO,0.9236184997578528,0.06576598545909046,0.0,130.45,56.17779576346962,nr_particles=6; k=3; scaling=1000.0
PSO,0.8994265011964717,0.07638210307069082,0.05,61.7,23.101834057972653,nr_particles=6; k=1; scaling=10.0
PSO,0.8065396565388583,0.09158034342130959,0.0,12.55,8.64185043537369,nr_particles=6; k=1; scaling=100.0
PSO,0.768768672100901,0.10597133578196932,0.0,6.1,0.30779350562554625,nr_particles=6; k=1; scaling=1000.0
PSO,0.8949295057473247,0.04437693498491427,0.0,50.25,13.57193311290078,nr_particles=6; k=1; scaling=10.0
PSO,0.8056686485231164,0.0945225446105553,0.0,11.2,3.4732057086698513,nr_particles=6; k=1; scaling=100.0
PSO,0.7434719746818833,0.10493171633664505,0.0,6.45,0.6863327411532597,nr_particles=6; k=1; scaling=1000.0
PSO,0.9073307378204,0.07035781261305678,0.0,54.35,19.9822947947216,nr_particles=6; k=1; scaling=10.0
PSO,0.7608888646402384,0.07336770693880618,0.0,11,3.8388594797495723,nr_particles=6; k=1; scaling=100.0
PSO,0.7877074597490297,0.08595291082622326,0.0,6.3,0.47016234598162726,nr_particles=6; k=1; scaling=1000.0
PSO,0.9905250798030459,0.009912500207075615,0.25,417.2,15.487176359134914,nr_particles=80; k=26; scaling=1000.0
PSO,0.9916935635561678,0.011517106976590807,0.4,419.05,11.803099503720912,nr_particles=80; k=8; scaling=100.0
PSO,0.9778522072946996,0.01732941256198784,0.1,415.35,8.90461146053874,nr_particles=40; k=20; scaling=10.0
PSO,0.9925793812438786,0.011682181346090423,0.5,408.95,5.623961892511457,nr_particles=40; k=20; scaling=100.0
PSO,0.9906735925592447,0.01106420986221962,0.45,414.55,8.394703844185269,nr_particles=40; k=20; scaling=1000.0
PSO,0.9808010321311806,0.014906955631061829,0.15,414.05,8.550007694671821,nr_particles=40; k=13; scaling=10.0
PSO,0.9867164008557846,0.010327166160430824,0.3,410.8,8.288228812122965,nr_particles=40; k=13; scaling=100.0
PSO,0.9894550652219755,0.011945224613899448,0.15,409.35,7.92248631893323,nr_particles=40; k=13; scaling=1000.0
PSO,0.9872340718729181,0.011228811886890174,0.15,411.85,8.573367575168312,nr_particles=40; k=8; scaling=10.0
PSO,0.9872134944091966,0.01035261667095913,0.15,409.35,8.31786283279925,nr_particles=40; k=8; scaling=100.0
PSO,0.9908681553536415,0.010290001266975041,0.2,409.4,9.527798663302088,nr_particles=40; k=8; scaling=1000.0
PSO,0.9760392006996353,0.019077423834630045,0.15,415,8.246211251235321,nr_particles=40; k=4; scaling=10.0
PSO,0.9868587578771488,0.01591141909047652,0.25,406.8,6.06630035524124,nr_particles=40; k=4; scaling=100.0
PSO,0.9872936281645496,0.014382623070558122,0.3,406.2,5.578152872921664,nr_particles=40; k=4; scaling=1000.0
PSO,0.9860857756287731,0.008954459446937875,0.2,407.4,6.02975080221746,nr_particles=28; k=14; scaling=10.0
PSO,0.985872566043947,0.016431222640163435,0.35,406.4,5.030433694811486,nr_particles=28; k=14; scaling=100.0
PSO,0.990555232308398,0.017669658577269133,0.45,405.15,4.475371198953339,nr_particles=28; k=14; scaling=1000.0
PSO,0.9836442667993318,0.018598435869596155,0.3,407.3,5.545030966645059,nr_particles=28; k=9; scaling=10.0
PSO,0.9881854161720962,0.013677845650084891,0.2,405.9,4.655500425359912,nr_particles=28; k=9; scaling=100.0
PSO,0.9844320410566155,0.01745637477743295,0.2,405.45,5.031218331054303,nr_particles=28; k=9; scaling=1000.0
PSO,0.9845205466503252,0.013044639021880605,0.2,405.8,3.8879029660839284,nr_particles=28; k=5; scaling=10.0
PSO,0.9810690316948256,0.0174786638230282,0.2,404.05,3.804083678309265,nr_particles=28; k=5; scaling=100.0
PSO,0.9921056368660772,0.0168188535021121,0.45,405.3,3.826500393722428,nr_particles=28; k=5; scaling=1000.0
PSO,0.9805966198075675,0.016901058811390608,0.2,398.6,13.632005683220955,nr_particles=28; k=2; scaling=10.0
PSO,0.9510569764211876,0.03107790851450303,0.05,238.15,66.94245368421416,nr_particles=28; k=2; scaling=100.0
PSO,0.9598294643424655,0.034012586769402844,0.05,228.1,76.50380107515814,nr_particles=28; k=2; scaling=1000.0
PSO,0.9835903838120433,0.01762109537694574,0.2,383.1,41.658890502445416,nr_particles=12; k=6; scaling=10.0
PSO,0.9830164772841299,0.022354212662843004,0.45,348.15,85.02276784856853,nr_particles=12; k=6; scaling=100.0
PSO,0.979943931370532,0.016765184758950034,0.2,320.55,95.98764997315239,nr_particles=12; k=6; scaling=1000.0
PSO,0.978989280099202,0.02025242065613817,0.2,336.05,65.40197566627963,nr_particles=12; k=3; scaling=10.0
PSO,0.9470581603174746,0.05384488320775688,0.05,204.55,96.54204156466594,nr_particles=12; k=3; scaling=100.0
PSO,0.9718300220060698,0.021607500359838324,0.2,245.7,114.54077646709145,nr_particles=12; k=3; scaling=1000.0
PSO,0.9658417943993288,0.029091789041172194,0.1,301.3,72.49617049777254,nr_particles=12; k=2; scaling=10.0
