GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.904640250072885,0.043298731246635164,0.05,190.8,17.69507811437079,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.8630760273293702,0.07058701784035896,0.0,196.35,9.382374292705501,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.8355650627166586,0.07503190847198529,0.0,112.2,18.063047478499477,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.7739054010355724,0.1943028205114942,0.0,105.35,31.50150372350668,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.8580030607459487,0.060106506204308525,0.0,117.05,18.602419197512994,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8152707638793105,0.19970972538663043,0.0,106.4,22.67017516706175,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.8534659358506396,0.08249193859509903,0.0,106.8,19.4844067208411,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8783244523640515,0.06814516946145345,0.0,103.8,19.73935422609255,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.9141159545086813,0.034554134350098964,0.05,95.65,68.27442689925014,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9074632163555334,0.02493210504456324,0.05,93.55,59.6785026974582,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9208517521180011,0.03170313289321029,0.05,112.35,62.35996944734406,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9222731302119306,0.03562342336605561,0.05,75.2,33.187822750933336,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9046355415288342,0.029617015908592167,0.0,98.4,34.014547971187426,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.9150620862275174,0.0317462327956112,0.1,69.05,25.852771407988048,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9113754376072899,0.04904777493613124,0.0,273,87.8245859354705,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9314574037528692,0.04834819603758871,0.1,286.1,110.92240056619953,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9066969581670868,0.077474028624572,0.1,297.25,69.81997527476231,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.8882800934490789,0.09311681704890526,0.0,293.9,85.1771528546303,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9139212725803632,0.045827196376142035,0.05,276.9,77.64758443390917,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8833418110968537,0.10151628339734159,0.1,250.65,100.41978993468527,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.970025088435348,0.04122029052491459,0.5,281.7,98.9747974300316,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9589092142648539,0.05026553108149841,0.45,308.6,78.34700142046884,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9541325080856411,0.073285619920137,0.55,247.9,109.83858970996343,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9520634067844507,0.04515910945426495,0.35,231.35,81.60255091472003,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.94384161803084,0.05302551986151295,0.25,245.2,85.54937017209481,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9458336986462147,0.056802465489502615,0.15,257.8,85.69443880500802,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.9177118951593787,0.051287978063561855,0.0,400,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.9042089395677917,0.05580471109131171,0.1,382.65,57.008101917275994,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.9072116581127899,0.0585972875656874,0.0,400,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9034044128621233,0.06548180274158494,0.0,400,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.8921373930688234,0.06215514679189242,0.0,400,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8781308431987751,0.062213912711206416,0.0,400,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.9066014341670576,0.06198246819183032,0.0,400,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9090944118430451,0.07043977568964326,0.05,394.85,23.031500168247835,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.8856009746942443,0.06229292844127479,0.0,400,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.8990848968216891,0.05899593101791696,0.0,400,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.8870794231253949,0.03825239974332483,0.0,400,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.8968264496979846,0.06891337272850813,0.05,385.55,64.62236454974392,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.9370379269269205,0.04454200364220022,0.1,318.3,75.22184733034328,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9057618161538814,0.08719521190301341,0.15,258.85,88.35649977580358,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.8565450482472259,0.2150918015652357,0.05,280.4,97.43305393961538,method=CG; iterations=1000000; temperature=0.25
