pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.9928891131842389,0.005852989266512837,0.1,388.55,46.926005583258416,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9906095436325565,0.005846843809377274,0.1,366.6,103.83458505060624,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.9932115648584925,0.00572241840304551,0.05,387.85,54.33645185324489,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.9927817689243328,0.005422577411753042,0.0,400,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.9938147991467894,0.006327182901506773,0.35,341.8,103.79007152598182,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.9936572588074001,0.006135150776388305,0.2,344.25,118.5708204984861,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.9882261253671307,0.00564213807636013,0.15,73.45,35.1050678602632,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.9876305757072296,0.0036135860710311595,0.0,90.8,29.656986396214688,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.9870125965557245,0.0025751749510634823,0.0,91.4,39.32108045846468,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.9890874698635032,0.005186678906001843,0.15,92.95,38.11544099318888,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9833801228994377,0.011302369543421328,0.0,116.25,40.521436821826335,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.9878046159541662,0.0064405955506289915,0.15,114.15,41.97276686012893,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.9881527572002039,0.015483409642918184,0.35,75,29.549245248175833,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.9832256486156504,0.01473005302441812,0.15,65.95,34.136683463610474,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.9875402839676971,0.007625878060361133,0.2,61.6,19.94571580433674,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.9814794013763515,0.028392522794825285,0.05,71.7,41.61995978652045,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.9729653946353495,0.02841953544960742,0.0,63.45,24.98520614915533,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.9869094641418841,0.015709028709327395,0.1,75.6,25.404931141725015,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.9768558094200595,0.021232028979853212,0.0,144.5,71.88770482678632,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9790360727062224,0.015455596126420381,0.0,74.6,27.647023252727266,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.978935772115001,0.01542426835729889,0.0,74.1,26.14111502474296,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9754787677013752,0.02090496685614218,0.0,68.3,26.177732602548417,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9842905452004865,0.0019445042213177535,0.0,72.05,15.08039857074844,method=Powell; iterations=1000000; temperature=1.0
