convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.8245603444775621,0.2955023518763589,0.2,44.8,25.952588350784264,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.5654381492681201,0.43277195630998794,0.05,37.75,27.636503320598894,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.6848730002294966,0.3621818148413379,0.1,47.55,30.45700161487373,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9308764031905502,0.08726525181578683,0.55,132.75,93.82956273001203,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.891689082001734,0.22482776523211176,0.55,168.4,100.11593279793182,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9638437101507508,0.06670984217697348,0.75,136.65,95.57651935821674,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.9283157495427508,0.08429315667133261,0.5,142.55,112.92078033550312,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9085605939419183,0.08516795838575505,0.45,135.6,65.60840767687276,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.9415219413150292,0.0819474677142024,0.6,144.4,62.221505843829306,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9057996619349039,0.1683544400171513,0.55,201.75,118.39491231956673,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9719347965789903,0.060116296855915054,0.75,148.55,103.35705867983748,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9094714956800617,0.2256565119718996,0.7,141.4,94.99218804445808,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9577333454847885,0.07528706538543675,0.7,137.8,90.47919214121175,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9663457567770648,0.06906413392085774,0.7,152.4,116.62643917992813,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9258769306594783,0.08106087369558573,0.45,190.3,103.94234231686232,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.9822322019783124,0.054920760498803296,0.9,119.15,113.06787667963924,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.9716425874451463,0.06085044858701039,0.8,175.75,136.2898903460059,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.9918942979151203,0.036249801734305365,0.95,150.55,107.10569054615362,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9333440664711162,0.11455998963243577,0.7,199.6,142.92154638490527,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.9944143882686312,0.024979615054522012,0.95,141.75,101.16473017598054,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.9834844708959354,0.05084330141710976,0.9,178.2,125.64720869415117,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.9834844708959354,0.05084330141710976,0.9,158.8,132.20741280276232,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,1.0,0.0,1.0,119.5,69.06556762656011,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.9739655384082408,0.06376734240363795,0.85,167.45,138.16255681357072,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.9837885958302407,0.04989764920522817,0.9,147.15,112.50697054428508,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.9918942979151203,0.036249801734305365,0.95,133.4,120.44671239314002,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.9837885958302407,0.04989764920522817,0.9,138.25,123.62969963394292,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.9445093740837607,0.0788345531234276,0.6,138.2,87.37975196023149,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.890394820284101,0.23190493319479794,0.65,131.5,93.02037128330659,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.9594714895756017,0.07202105300141999,0.75,113.2,86.02973782055648,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.9086117050898532,0.12356971177900855,0.45,159.9,106.62077411876267,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9098888704482149,0.15218662412964423,0.6,142.4,82.94348107375033,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.9310552495206387,0.1332910380256801,0.65,141.05,100.97861941494034,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.74535559416899,0.28890838970756644,0.2,97.2,71.05713046185924,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.7798809509070542,0.33285059479836265,0.45,75.55,40.517020465088756,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.8250210400765248,0.2936345531593475,0.45,87.15,53.50186912622773,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.9644016609649781,0.07316964645878893,0.5,75.1,38.04139020095155,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.874995236229327,0.23606537420246876,0.45,74.85,34.87764326900543,method=Nelder-Mead; iterations=1000000; temperature=1.0
