convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.8402620731316157,0.058963138775144586,0.05,192.85,31.975772078246994,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.8508440913739945,0.06544653196401007,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8683808295796176,0.08166606569634427,0.05,196.95,13.640014662748717,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.8417429897796215,0.08951679624778469,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.8130760623077916,0.08822594766928273,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8569946496122623,0.08015364775347628,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.8645856387551721,0.0732164989554209,0.05,199.9,0.4472135954999579,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.8836143636483886,0.06814772885979457,0.1,193.95,20.121930952648604,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.8551336073305885,0.0596350091631444,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.887886117084906,0.07300506139110839,0.05,194.2,25.93838853899756,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.8907231711943733,0.07991134865334973,0.05,194.05,26.609208932247498,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.8880156996448804,0.07074191066386978,0.15,181.5,47.90725689452376,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.8767183972516543,0.1199346786519182,0.2,136.75,56.09097403701466,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.879892540131024,0.104657388126439,0.05,161.6,40.76427744716535,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.8862266072296153,0.18279754231489176,0.1,156.65,50.812633116288374,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.898714627136394,0.09155156967490374,0.2,135.6,47.59743469425305,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.8785003232795505,0.08157492793000137,0.1,139.05,55.15001073626846,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.8949873222576237,0.08721513213304187,0.2,138.5,44.33663092867187,method=CG; iterations=1000000; temperature=2.0
