GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.9185977765253727,0.04101172773062589,0.05,132.4,61.21523718125982,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9170101516426221,0.03947330767218536,0.0,110.6,54.55986571985328,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9407473836667736,0.04033443377759652,0.15,111.45,60.25251687252313,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9191255837393488,0.04362359171744544,0.0,114.95,61.94520074014485,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9276812763352889,0.04613347571890198,0.0,109.9,56.795941293092596,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.9173284092353655,0.04226022670176785,0.0,77.55,24.50451086293254,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8811183372229373,0.21301927910892768,0.0,199.45,2.4596747752497685,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9390280935558963,0.04438673172018691,0.1,181.7,49.90527869980553,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9231515093362322,0.0537008316888789,0.05,189.35,37.092026381051646,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.8788915623907206,0.21085999774279232,0.0,182.85,41.32575977586657,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9264865611946369,0.054715686666717556,0.0,192.4,15.672302084619826,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8770118502127441,0.20930543860148007,0.0,192.4,19.655988775353993,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9587806783500012,0.029398944758477413,0.05,191.05,40.025616797246236,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9597470293567023,0.015181394377334456,0.0,200,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9575960892065828,0.02269700596371236,0.05,193.85,27.503636123247414,method=COBYLA; iterations=1000000; temperature=0.25
